TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AALR3;19,60;;-412,18;1,92;0,91;31,33;7,76;-0,49;26,30;33,67;7,38;0,54;2,04;-23,13;-1,13;0,83;-0,47;-0,22;4,41;0,48;0,52;0,45;3,62;;9.132.497,30;10,22;-0,05;4,37;2.318.539.193,60
ABCB4;16,62;6,11;6,57;0,80;0,08;23,86;18,43;13,98;4,98;4,98;;;0,92;-6,33;-0,08;0,72;12,25;1,16;;0,09;0,91;0,08;7,15;7,87;14.163.457,15;20,65;2,53;0,08;3.757.617.761,16
ABEV3;14,67;4,11;18,24;2,75;1,67;51,05;23,29;17,39;13,62;12,71;-0,91;-0,18;3,17;-965,69;-2,31;0,99;15,08;9,14;18,74;0,61;0,39;0,53;9,82;0,20;384.452.535,45;5,33;0,80;1,61;231.055.681.204,17
ADHM3;1,56;;-4,09;-1,29;105,12;100,00;-13.548,48;-18.860,61;-5,69;-5,69;0,00;;770,90;-1,43;-116,16;0,00;-31,47;-2.571,90;22,61;-81,72;82,72;0,14;;;;-1,21;-0,38;-0,58;25.439.770,20
AERI3;5,09;0,41;56,36;3,90;1,26;11,54;8,36;2,78;18,76;21,48;2,72;0,57;1,57;3,06;-3,54;2,80;6,92;2,24;8,06;0,32;0,68;0,81;;;11.997.944,60;1,30;0,09;-1,45;3.900.026.491,04
AESB3;11,15;2,07;12,31;1,36;0,46;16,81;8,41;36,44;53,36;97,17;43,81;1,12;4,49;10,43;-0,58;1,29;11,05;3,76;-4,65;0,34;0,66;0,10;;;18.012.827,33;8,20;0,91;;5.486.987.419,25
AFLT3;9,48;4,50;5,84;2,33;2,13;87,03;84,24;81,52;5,65;5,46;-0,19;-0,08;4,76;10,18;-2,78;10,78;39,98;36,56;39,43;0,91;0,09;0,45;30,86;48,28;8.376,91;4,06;1,62;0,01;598.042.956,00
AGRO3;34,07;13,61;4,81;1,42;0,96;42,71;38,75;53,36;6,63;6,41;-0,21;-0,05;2,57;2,92;-1,89;3,04;29,57;19,97;15,77;0,68;0,32;0,37;55,29;146,35;33.175.871,53;23,95;7,08;0,01;3.487.984.662,56
AGXY3;9,18;;2.354,61;1,06;0,23;6,94;-2,02;0,02;-20,03;-28,13;-8,10;0,43;0,40;2,88;-1,14;1,11;0,05;0,01;-3,43;0,22;0,78;0,57;;;1.132.104,55;8,63;0,00;;1.568.173.399,02
AHEB3;27,50;;-3,15;-3,32;0,75;28,13;-24,82;-42,95;-5,45;-4,96;0,53;;1,35;-53,36;-1,08;0,96;-105,53;-23,80;60,99;-0,23;1,23;0,55;-1,24;;4.125,00;-8,28;-8,73;-0,01;236.820.517,90
